month,date,ticker,type,ret_z,volz,why
1964-03,1964-03-09,KO,spike,3.6255817754691346,1.3260064437831178,|ret_z|>2.5; ; range_pct>95%
1964-03,1964-03-12,KO,,2.2752544152229177,1.4979846434350041,range_pct>95%
1964-03,1964-03-13,KO,crash,-2.686013994727167,0.7518305758111257,|ret_z|>2.5
1964-03,1964-03-16,DIS,volume_shock,2.385217895370024,3.3365488514318415,volz>2.5; range_pct>95%
1964-03,1964-03-16,KO,volume_shock,-1.8727681192442764,2.583501254796712,volz>2.5
1964-03,1964-03-17,DIS,volume_shock,2.361136718181799,2.9151792107085193,volz>2.5
1964-03,1964-03-18,DIS,volume_shock,2.241258223982389,2.952646438596462,volz>2.5
1964-03,1964-03-18,KO,,-0.6595980197534617,0.7537439737796223,range_pct>95%
1964-03,1964-03-20,DIS,,-1.6913174537982807,1.340456417811929,range_pct>95%
1964-03,1964-03-30,DIS,,-2.0526447829951495,0.6890963958907875,range_pct>95%
1964-04,1964-04-10,DIS,,2.3498211160552245,2.393922721750276,range_pct>95%
1964-04,1964-04-23,IBM,,-1.9403084954708678,-0.17265198142416727,range_pct>95%
1964-04,1964-04-27,DIS,,-1.7579302666027345,0.48182793683901903,range_pct>95%
1964-05,1964-05-18,DIS,,-2.3636572260713056,0.4467268036723603,range_pct>95%
1964-05,1964-05-20,IBM,volume_shock,1.604023414804655,2.7001543319130374,volz>2.5
1964-06,1964-06-04,IBM,,-2.082767570902388,0.45803357790870486,range_pct>95%
1964-06,1964-06-09,DIS,,-0.003442385244088381,2.2174658316157854,range_pct>95%
1964-06,1964-06-29,KO,volume_shock,1.2629057508391408,2.7741628084622256,volz>2.5
1964-07,1964-07-07,KO,spike,3.0248403323602746,2.178835620850284,|ret_z|>2.5; ; range_pct>95%
1964-07,1964-07-14,IBM,volume_shock,-2.335024253299584,2.788905226991228,volz>2.5; range_pct>95%
1964-08,1964-08-04,IBM,crash,-3.672644720830314,2.0821810664268443,|ret_z|>2.5; ; range_pct>95%
1964-08,1964-08-05,IBM,,1.709718904610182,1.9314334981835826,range_pct>95%
1964-08,1964-08-05,KO,,-0.5122000948922468,2.47820581944932,range_pct>95%
1964-08,1964-08-07,KO,,1.0964704111711085,0.3932704845239744,range_pct>95%
1964-08,1964-08-13,DIS,,1.9396813437855682,0.4854876784874332,range_pct>95%
1964-08,1964-08-20,IBM,,-2.0435501097533786,1.6393524661580419,range_pct>95%
1964-08,1964-08-24,DIS,,2.2612938775802225,0.9907057104400566,range_pct>95%
1964-09,1964-09-01,DIS,,2.3105871563831446,2.1196439098099904,range_pct>95%
1964-09,1964-09-10,IBM,volume_shock,-2.0382720620038075,2.5328843550528526,volz>2.5
1964-09,1964-09-11,DIS,volume_shock,1.6138679043904087,2.5423601805201366,volz>2.5
1964-09,1964-09-14,IBM,crash,-2.8565853278604045,1.4104259606773755,|ret_z|>2.5; ; range_pct>95%
1964-09,1964-09-14,KO,,-1.005320270505003,1.4476580889186683,range_pct>95%
1964-09,1964-09-18,IBM,,-1.596349027842548,0.5661183457172283,range_pct>95%
1964-10,1964-10-15,DIS,,-2.47814150503368,0.8941608020584453,range_pct>95%
1964-10,1964-10-16,DIS,spike,2.8426087967219926,1.3309660353893955,|ret_z|>2.5; ; range_pct>95%
1964-11,1964-11-12,KO,spike,3.690922407537721,1.0924792854614724,|ret_z|>2.5; ; range_pct>95%
1964-11,1964-11-13,KO,spike,3.4009588124944283,1.507579466170105,|ret_z|>2.5
1964-11,1964-11-16,KO,crash,-3.167555901684452,1.9168052547457646,|ret_z|>2.5; ; range_pct>95%
1964-11,1964-11-17,KO,,1.8905737911254976,1.200042919394878,range_pct>95%
1964-11,1964-11-23,KO,,-2.035994097021788,0.8422258545200896,range_pct>95%
1964-11,1964-11-30,DIS,crash,-2.8817217132443544,-0.6202646493551838,|ret_z|>2.5
1964-12,1964-12-02,DIS,,2.037984511744918,2.116709540521885,range_pct>95%
1964-12,1964-12-08,IBM,,-1.8274088904756403,-1.094526123172106,range_pct>95%
1964-12,1964-12-22,KO,volume_shock,-0.17805990131384414,2.727081491488573,volz>2.5
1965-01,1965-01-05,DIS,,1.5690719751480748,1.5684679040225324,range_pct>95%
1965-01,1965-01-06,IBM,volume_shock,1.5127276525054503,2.5987804908351224,volz>2.5
1965-01,1965-01-07,IBM,spike,2.6358469712671515,1.10576459448915,|ret_z|>2.5; ; range_pct>95%
1965-01,1965-01-25,KO,,1.5767103036527392,1.3788332766299765,range_pct>95%
1965-02,1965-02-01,DIS,volume_shock,2.005672352353266,2.8265989282037225,volz>2.5; range_pct>95%
1965-02,1965-02-03,DIS,,1.7242317473371582,2.1268452387008203,range_pct>95%
1965-02,1965-02-09,DIS,spike,2.7731234893873142,1.8171780276197043,|ret_z|>2.5; ; range_pct>95%
1965-02,1965-02-10,DIS,,-2.079618569005159,1.2862229194706496,range_pct>95%
1965-02,1965-02-10,IBM,,-1.7913512829023959,-0.5603059252260465,range_pct>95%
1965-02,1965-02-15,IBM,,-1.9552509070860662,0.16547873932628038,range_pct>95%
1965-02,1965-02-18,IBM,spike,2.655454870537204,1.081253518290815,|ret_z|>2.5; ; range_pct>95%
1965-02,1965-02-25,KO,spike,2.6244568237221677,0.1979614322369688,|ret_z|>2.5; ; range_pct>95%
1965-03,1965-03-01,DIS,,1.658356362594329,1.1593417018785264,range_pct>95%
1965-03,1965-03-03,KO,crash,-2.7194697424075094,0.4952337259268147,|ret_z|>2.5; ; range_pct>95%
1965-03,1965-03-05,KO,,-1.844132311706081,2.1625880058028053,range_pct>95%
1965-04,1965-04-08,KO,,2.337914230337738,0.6242783773995273,range_pct>95%
1965-04,1965-04-09,IBM,spike,2.793584720734486,1.7720147522958758,|ret_z|>2.5; ; range_pct>95%
1965-04,1965-04-09,KO,spike,3.506400587573801,-0.007184455907911011,|ret_z|>2.5; ; range_pct>95%
1965-05,1965-05-05,KO,,1.4969874646505417,0.24949998571453139,range_pct>95%
1965-05,1965-05-10,IBM,,-1.6350970036501375,0.015485073512803234,range_pct>95%
1965-05,1965-05-17,IBM,,-2.004157375262275,0.34991582768148255,range_pct>95%
1965-05,1965-05-21,KO,,-2.0018242358778116,-1.7655639129691814,range_pct>95%
1965-05,1965-05-25,IBM,spike,2.749521028438134,0.8975789374564813,|ret_z|>2.5; ; range_pct>95%
1965-05,1965-05-28,IBM,spike,2.671987430959398,0.1078929785518915,|ret_z|>2.5; ; range_pct>95%
1965-06,1965-06-02,DIS,crash,-2.632169837826077,0.7052377804241359,|ret_z|>2.5; ; range_pct>95%
1965-06,1965-06-02,IBM,,1.3912289460244047,1.3552732275447554,range_pct>95%
1965-06,1965-06-08,DIS,crash,-3.355070387951197,0.4752166103129069,|ret_z|>2.5; ; range_pct>95%
1965-06,1965-06-09,IBM,,-2.2099940713183437,2.2951128604564026,range_pct>95%
1965-06,1965-06-10,IBM,,-1.2062944190668587,2.1120688674811814,range_pct>95%
1965-06,1965-06-14,DIS,crash,-2.796828293401549,0.24025749367085822,|ret_z|>2.5; ; range_pct>95%
1965-06,1965-06-14,IBM,,-0.5738464678620832,1.1332763818949811,range_pct>95%
1965-06,1965-06-15,DIS,spike,2.608206405399546,0.8919436740043114,|ret_z|>2.5; ; range_pct>95%
1965-06,1965-06-15,IBM,,1.4219784580717258,1.6184804887738258,range_pct>95%
1965-06,1965-06-21,KO,,-1.2772673211322205,-0.5194966212518146,range_pct>95%
1965-06,1965-06-24,KO,crash,-2.566271037810429,0.3367287566684405,|ret_z|>2.5; ; range_pct>95%
1965-06,1965-06-28,DIS,,-1.4405972698365497,0.4510564009888658,range_pct>95%
1965-06,1965-06-29,DIS,,-1.050392013817113,1.0505119682762867,range_pct>95%
1965-06,1965-06-29,IBM,,1.6731756785652083,1.4374241346586338,range_pct>95%
1965-06,1965-06-29,KO,,1.1066986928204665,0.6484905905594294,range_pct>95%
1965-06,1965-06-30,DIS,spike,3.2281155728728916,0.38108275011259973,|ret_z|>2.5
1965-06,1965-06-30,KO,,1.7226991242077752,0.23227552530143528,range_pct>95%
1965-07,1965-07-16,KO,,-1.414624352068294,-1.4188283038197422,range_pct>95%
1965-09,1965-09-01,KO,,-1.9440580643025553,1.382136964391084,range_pct>95%
1965-09,1965-09-17,DIS,volume_shock,0.8434614954143769,2.898078390909407,volz>2.5; range_pct>95%
1965-09,1965-09-29,DIS,,-1.0374486827521863,0.11524262915917144,range_pct>95%
1965-09,1965-09-30,DIS,spike,2.815919007597921,1.7068786015473845,|ret_z|>2.5; ; range_pct>95%
1965-10,1965-10-01,IBM,,-1.7773965628108548,1.4677627076980968,range_pct>95%
1965-10,1965-10-15,DIS,spike,3.0873745599329694,1.9353222143309903,|ret_z|>2.5; ; range_pct>95%
1965-10,1965-10-25,DIS,spike,3.0479391252322463,1.8081112688798966,|ret_z|>2.5; ; range_pct>95%
1965-10,1965-10-26,DIS,,1.5465679319323586,1.8560908622057,range_pct>95%
1965-10,1965-10-27,DIS,,-2.333617404902375,0.3877699420679739,range_pct>95%
1965-11,1965-11-05,KO,,1.2232378049255348,0.6955237355931517,range_pct>95%
1965-11,1965-11-10,DIS,spike,2.8467653341634804,0.9835546591667678,|ret_z|>2.5
1965-11,1965-11-11,DIS,spike,2.8403598127916942,1.1630008208473632,|ret_z|>2.5; ; range_pct>95%
1965-11,1965-11-16,DIS,,-2.4482186612078376,0.5328588291764171,range_pct>95%
1965-11,1965-11-22,IBM,,-0.9392521664434488,-1.4595648333948852,range_pct>95%
1965-11,1965-11-23,KO,,1.301263283539083,0.3930815676503681,range_pct>95%
1965-11,1965-11-29,IBM,crash,-2.6420806560487673,0.5387415195420818,|ret_z|>2.5
1965-11,1965-11-30,KO,,0.5784310873341464,0.7439753587580261,range_pct>95%
1965-12,1965-12-01,IBM,crash,-2.8975129138379665,1.4605135760580321,|ret_z|>2.5; ; range_pct>95%
1965-12,1965-12-02,IBM,crash + volume_shock,-3.973940411749204,2.7007530337757184,|ret_z|>2.5; volz>2.5; range_pct>95%
1965-12,1965-12-03,IBM,volume_shock,1.3630297458346181,2.70870404123252,volz>2.5; range_pct>95%
1965-12,1965-12-06,DIS,,0.5084599370472829,-0.14390088585212016,range_pct>95%
1965-12,1965-12-06,IBM,,-1.2196721559949777,1.6397454593029626,range_pct>95%
1965-12,1965-12-14,IBM,crash,-2.5010519396608286,0.6187021937053578,|ret_z|>2.5; ; range_pct>95%
1965-12,1965-12-15,IBM,crash,-2.709449008197795,2.069185141619317,|ret_z|>2.5
1965-12,1965-12-27,KO,spike,3.0223765241394553,-0.18079563567552204,|ret_z|>2.5
1965-12,1965-12-28,KO,crash,-2.5093958504716345,0.461619571030398,|ret_z|>2.5
1965-12,1965-12-30,DIS,,1.6518592630101758,1.4499100635169984,range_pct>95%
1966-01,1966-01-19,IBM,volume_shock,-1.036091286243945,3.1672849335695092,volz>2.5; range_pct>95%
1966-01,1966-01-24,KO,,-2.0827492948036035,-0.1747674385688305,range_pct>95%
1966-01,1966-01-25,IBM,spike,3.066405304344073,2.4617463745688624,|ret_z|>2.5; ; range_pct>95%
1966-01,1966-01-26,KO,,-1.656079518934104,0.6605676445410669,range_pct>95%
1966-02,1966-02-24,KO,volume_shock,-0.8481251314827204,2.5212697231703998,volz>2.5
1966-02,1966-02-25,KO,,-1.625072706259936,0.7618106594383652,range_pct>95%
1966-03,1966-03-01,IBM,,-1.7701905493497192,-0.19177299537887676,range_pct>95%
1966-03,1966-03-01,KO,,-2.1125169915133033,1.6620524671560415,range_pct>95%
1966-03,1966-03-02,KO,,-1.174698843134319,1.0345336857798793,range_pct>95%
1966-03,1966-03-03,KO,,1.150871427664503,1.6186454793849383,range_pct>95%
1966-03,1966-03-18,DIS,spike,3.667713613554636,2.0210303602773636,|ret_z|>2.5; ; range_pct>95%
1966-04,1966-04-12,IBM,,-2.0062965597457834,1.4693517646731789,range_pct>95%
1966-04,1966-04-14,IBM,spike + volume_shock,2.697534337741154,2.762686107432671,|ret_z|>2.5; volz>2.5; range_pct>95%
1966-04,1966-04-14,KO,volume_shock,-0.06740299391753184,3.244014496189098,volz>2.5
1966-04,1966-04-15,DIS,spike,3.9309105647230442,1.4509564399800499,|ret_z|>2.5; ; range_pct>95%
1966-04,1966-04-25,IBM,,-2.297405718583277,-0.7873534077835613,range_pct>95%
1966-05,1966-05-05,DIS,,-1.5695003299110941,0.1677863807789584,range_pct>95%
1966-05,1966-05-06,KO,,1.8343753051814402,0.3076691416562682,range_pct>95%
1966-05,1966-05-09,DIS,,-1.576926597415296,0.9849537388236701,range_pct>95%
1966-05,1966-05-13,DIS,,0.7059376274727226,0.5504441638390256,range_pct>95%
1966-05,1966-05-17,DIS,,-1.8318780493837379,-0.10651380005047825,range_pct>95%
1966-05,1966-05-31,IBM,,-1.7926723860173406,-1.1661312289291512,range_pct>95%
1966-06,1966-06-02,IBM,,-1.6986994014865398,0.20752631378769676,range_pct>95%
1966-06,1966-06-08,DIS,,2.2659004932332056,1.3318977657464366,range_pct>95%
1966-06,1966-06-15,KO,crash + volume_shock,-2.622546481878103,2.73148944858959,|ret_z|>2.5; volz>2.5; range_pct>95%
1966-08,1966-08-12,IBM,,1.979189864962959,1.1837634209455878,range_pct>95%
1966-08,1966-08-19,DIS,,-2.271441849333714,0.5693639058331122,range_pct>95%
1966-08,1966-08-22,IBM,,-1.3599947215804056,1.6262076165303656,range_pct>95%
1966-08,1966-08-23,KO,,-0.8797596433001903,0.5565797181603769,range_pct>95%
1966-08,1966-08-26,DIS,crash,-2.520832326029855,1.5131239676917896,|ret_z|>2.5
1966-08,1966-08-29,DIS,crash,-2.6437308971749367,1.1100589709471445,|ret_z|>2.5; ; range_pct>95%
1966-08,1966-08-29,KO,,-1.1593576201848759,1.3669862468888878,range_pct>95%
1966-08,1966-08-30,DIS,,-1.0241439979030198,2.4766507874878094,range_pct>95%
1966-08,1966-08-30,IBM,spike,2.8207392414388766,1.2279380835213005,|ret_z|>2.5; ; range_pct>95%
1966-08,1966-08-31,DIS,spike,3.6106825804655545,2.08151311866459,|ret_z|>2.5; ; range_pct>95%
1966-08,1966-08-31,KO,spike,3.4700285691390236,0.8559706393570005,|ret_z|>2.5
